timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721504797081,3790,Login,200,OK,Login  1-29,text,true,,58315,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1882,0,0
1721504797081,1882,Login-0,302,Found,Login  1-29,text,true,,6789,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1882,0,0
1721504798964,1907,Login-1,200,OK,Login  1-29,text,true,,51526,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1899,0,0
1721504797499,3392,Login,200,OK,Login  1-46,text,true,,58303,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1566,0,0
1721504797499,1566,Login-0,302,Found,Login  1-46,text,true,,6781,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1566,0,0
1721504799067,1824,Login-1,200,OK,Login  1-46,text,true,,51522,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1816,0,0
1721504798879,2082,Account Page,200,OK,Login  1-50,text,true,,51512,370,50,50,https://magento.softwaretestingboard.com/customer/account,2073,0,0
1721504797302,3755,Login,200,OK,Login  1-19,text,true,,58313,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1758,0,0
1721504797302,1758,Login-0,302,Found,Login  1-19,text,true,,6787,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1758,0,0
1721504799061,1996,Login-1,200,OK,Login  1-19,text,true,,51526,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1987,0,0
1721504797499,3570,Login,200,OK,Login  1-42,text,true,,58313,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1596,0,0
1721504797499,1596,Login-0,302,Found,Login  1-42,text,true,,6785,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1596,0,0
1721504799097,1972,Login-1,200,OK,Login  1-42,text,true,,51528,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1966,0,0
1721504797087,4000,Login,200,OK,Login  1-8,text,true,,58307,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1979,0,0
1721504797087,1979,Login-0,302,Found,Login  1-8,text,true,,6779,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1979,0,0
1721504799067,2020,Login-1,200,OK,Login  1-8,text,true,,51528,371,50,50,https://magento.softwaretestingboard.com/customer/account/,2008,0,0
1721504791801,9483,Login,200,OK,Login  1-39,text,true,,58313,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1531,0,0
1721504791801,1531,Login-0,302,Found,Login  1-39,text,true,,6785,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1531,0,0
1721504793333,7951,Login-1,200,OK,Login  1-39,text,true,,51528,371,50,50,https://magento.softwaretestingboard.com/customer/account/,7944,0,0
1721504793695,7701,Login,200,OK,Login  1-44,text,true,,58327,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1665,0,0
1721504793695,1665,Login-0,302,Found,Login  1-44,text,true,,6789,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1665,0,0
1721504795361,6035,Login-1,200,OK,Login  1-44,text,true,,51538,371,50,50,https://magento.softwaretestingboard.com/customer/account/,6001,0,0
1721504793442,8121,Account Page,200,OK,Login  1-3,text,true,,51529,370,50,50,https://magento.softwaretestingboard.com/customer/account,8094,0,0
1721504796564,5109,Account Page,200,OK,Login  1-32,text,true,,51516,370,50,50,https://magento.softwaretestingboard.com/customer/account,5094,0,0
1721504800370,1331,Load Login(for key),200,OK,Login  1-22,text,true,,39676,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1323,0,91
1721504798216,3589,Load Login(for key),200,OK,Login  1-17,text,true,,39678,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,3575,0,99
1721504799972,2008,Account Page,200,OK,Login  1-37,text,true,,51520,370,50,50,https://magento.softwaretestingboard.com/customer/account,1992,0,0
1721504799763,2247,Load Login(for key),200,OK,Login  1-6,text,true,,39674,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,2235,0,93
1721504800854,1225,Load Login(for key),200,OK,Login  1-15,text,true,,39682,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1210,0,107
1721504798694,3575,Login,200,OK,Login  1-25,text,true,,58305,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1674,0,0
1721504798694,1674,Login-0,302,Found,Login  1-25,text,true,,6779,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1674,0,0
1721504800369,1900,Login-1,200,OK,Login  1-25,text,true,,51526,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1887,0,0
1721504797333,5014,Account Page,200,OK,Login  1-5,text,true,,51516,370,50,50,https://magento.softwaretestingboard.com/customer/account,4993,0,0
1721504800458,1957,Account Page,200,OK,Login  1-12,text,true,,51512,370,50,50,https://magento.softwaretestingboard.com/customer/account,1896,0,0
1721504799047,3378,Login,200,OK,Login  1-1,text,true,,58315,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1748,0,0
1721504799047,1748,Login-0,302,Found,Login  1-1,text,true,,6789,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1748,0,0
1721504800795,1630,Login-1,200,OK,Login  1-1,text,true,,51526,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1623,0,0
1721504795585,6839,Account Page,200,OK,Login  1-14,text,true,,51514,370,50,50,https://magento.softwaretestingboard.com/customer/account,6839,0,0
1721504799095,3378,Login,200,OK,Login  1-10,text,true,,58334,774,50,50,https://magento.softwaretestingboard.com/customer/account/,1592,0,0
1721504799095,1592,Login-0,302,Found,Login  1-10,text,true,,6783,403,50,50,https://magento.softwaretestingboard.com/customer/account/loginPost,1592,0,0
1721504800687,1786,Login-1,200,OK,Login  1-10,text,true,,51551,371,50,50,https://magento.softwaretestingboard.com/customer/account/,1769,0,0
1721504796383,6092,Load Login(for key),200,OK,Login  1-31,text,true,,39676,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,6091,0,141
1721504800751,1796,Account Page,200,OK,Login  1-16,text,true,,51522,370,50,50,https://magento.softwaretestingboard.com/customer/account,1794,0,0
1721504796753,5796,Account Page,200,OK,Login  1-21,text,true,,51533,370,49,49,https://magento.softwaretestingboard.com/customer/account,5782,0,0
1721504801070,1513,Account Page,200,OK,Login  1-42,text,true,,51516,370,49,49,https://magento.softwaretestingboard.com/customer/account,1504,0,0
1721504801567,1129,Load Login(for key),200,OK,Login  1-3,text,true,,39674,157,49,49,https://magento.softwaretestingboard.com/customer/account/login,1126,0,113
1721504800963,1735,Load Login(for key),200,OK,Login  1-50,text,true,,39676,157,49,49,https://magento.softwaretestingboard.com/customer/account/login,1734,0,146
1721504800884,1857,Account Page,200,OK,Login  1-29,text,true,,51531,370,49,49,https://magento.softwaretestingboard.com/customer/account,1846,0,0
1721504801286,1522,Account Page,200,OK,Login  1-39,text,true,,51512,370,48,48,https://magento.softwaretestingboard.com/customer/account,1495,0,0
1721504796520,6868,Login,200,OK,Login  1-4,text,true,,58308,774,48,48,https://magento.softwaretestingboard.com/customer/account/,5331,0,0
1721504796520,5331,Login-0,302,Found,Login  1-4,text,true,,6781,403,48,48,https://magento.softwaretestingboard.com/customer/account/loginPost,5331,0,0
1721504801852,1536,Login-1,200,OK,Login  1-4,text,true,,51527,371,48,48,https://magento.softwaretestingboard.com/customer/account/,1446,0,0
